States,1/1/2021,1/8/2021,1/15/2021,1/22/2021,1/29/2021,2/5/2021,2/12/2021,2/19/2021,2/26/2021,3/5/2021,3/12/2021,3/19/2021,3/26/2021,4/2/2021,4/9/2021,4/16/2021,4/23/2021,4/30/2021,5/7/2021,5/14/2021,5/21/2021,5/28/2021,6/4/2021,6/11/2021,6/18/2021,6/25/2021,7/2/2021,7/9/2021,7/16/2021,7/23/2021,7/30/2021,8/6/2021,8/13/2021,8/20/2021,8/27/2021,9/3/2021,9/10/2021,9/17/2021,9/24/2021,10/1/2021,10/8/2021,10/15/2021,10/22/2021,10/29/2021,11/5/2021,11/12/2021,11/19/2021,11/26/2021,12/3/2021,12/10/2021,12/17/2021,12/24/2021
AL,28540,23241,18559,19495,13737,9348,6545,6637,7038,3824,7868,3001,2686,1968,3389,3854,2445,2403,7488,3860,1732,2180,1738,1334,1277,1364,2773,4506,8666,12950,23125,24587,25635,28288,33032,26458,23521,19645,13836,8240,6134,5958,12513,3992,3679,3120,2638,3065,3578,5363,9036,30978
AK,2626,1797,1409,1133,1175,1128,971,867,1024,926,887,1061,1243,1272,1131,1128,1080,726,573,432,298,259,179,220,200,289,344,708,1367,1660,2086,2212,3318,3586,3872,4495,5168,7298,7979,5629,6397,5500,4582,4207,3030,2908,1996,1873,1433,1207,640,1861
AZ,71879,60451,47676,40514,26251,17186,10813,10308,8039,8448,3224,3502,4574,5085,4367,4763,5150,4946,4579,3744,4143,3128,2797,2867,3535,3637,3956,6287,8016,11037,15593,18230,20588,22291,22064,18545,19124,17270,18351,16836,15433,15702,18021,19668,24463,25798,25773,23272,26993,21410,20619,30275
AR,19418,18775,13747,11181,12160,6885,3105,3925,5688,2173,1774,1422,1058,1129,1304,1272,1267,1445,1315,1378,1267,1012,1467,1612,2033,3325,4881,7120,9733,12800,15162,15898,15334,14923,13933,11773,10607,8478,5713,4584,4493,3548,2971,2994,3339,4329,3514,5462,5293,4965,6541,17519
CA,294410,297639,203544,151168,103225,74629,50923,40332,31131,24667,21162,18181,18635,18466,20619,15633,12049,13726,10991,8963,12216,6253,6832,6337,6851,55612,37488,24632,44884,58748,77243,83497,108721,92627,102060,68448,72453,55474,52406,42694,38545,38741,48147,43804,37976,40146,24987,45424,47941,46160,89961,224008
CO,19108,16182,11506,10619,9428,8971,7156,7148,8373,6994,6507,7757,9896,10533,11629,11338,12250,10006,9164,6201,5610,3969,4228,3372,2802,2818,2969,3578,3803,5698,6293,8502,8994,11027,12892,12067,13842,12429,13133,14939,16715,15277,20583,20159,21650,21851,17343,17788,15740,11679,18600,43792
CT,20286,17428,14393,12208,9349,7965,5764,6845,5384,5247,6114,8519,8746,7630,7476,5704,4467,3485,2259,1348,1016,550,459,315,455,356,493,706,1362,2298,3741,3760,4020,4852,4427,3798,5409,3391,3333,2942,3115,3103,2357,2386,2781,5168,5555,6802,14148,16143,18991,35631
DE,5439,5224,4506,3702,2611,2717,1918,1917,1776,2037,1724,1690,2265,2194,2538,2271,1812,1370,940,1451,515,324,291,208,135,184,166,284,368,637,1023,1555,2220,2471,2739,2675,3264,3222,3155,3083,2698,2337,1846,1493,2177,2333,2599,2984,4250,4693,5917,10357
DC,1855,2033,1765,1509,1220,1036,791,823,838,1160,752,791,982,827,815,692,556,439,288,265,209,170,90,85,62,85,77,197,321,425,705,1098,1141,1214,1362,1048,1885,1354,1126,935,710,612,652,559,572,657,482,920,1272,2517,8346,14721
FL,125937,98815,79536,70967,65303,50549,42005,41796,37984,31658,31392,33922,37836,40792,43937,40758,37016,29080,23605,18657,15958,9049,11454,10095,11048,15684,23747,45449,73166,110724,134751,151764,150740,151760,129202,100249,75998,54109,37309,25174,18807,14564,12151,10498,10302,9891,6364,13292,13000,28815,124774,302179
GA,57835,63700,52538,46491,33656,25704,20850,20676,18016,12103,10595,11333,9904,9034,10234,9502,8714,7993,5909,4708,3652,2753,2771,2400,2243,2768,3757,6343,11394,20968,31120,40212,53172,61539,62328,49866,40107,31925,23895,19940,12064,9815,8544,7731,6924,7509,4779,9695,10205,12486,40749,100398
HI,1158,1138,791,776,622,451,290,358,373,463,522,644,818,704,666,604,653,685,514,555,323,373,378,308,295,310,326,621,1044,1677,3201,4235,4789,5108,6213,4365,4050,2860,2146,1454,965,837,912,760,765,848,650,752,747,2186,7435,14122
ID,7190,6207,4215,3482,2576,2292,1734,1987,1858,2139,2224,2021,1985,1957,1631,1411,1429,1131,1125,1157,945,786,723,491,684,481,661,1025,1371,2258,3606,3967,4887,4937,7643,7089,8642,8470,9342,8564,8428,8207,6581,5072,2765,4286,2502,2659,3337,2291,1947,3656
IL,53724,42110,33796,27235,20809,17245,12691,13096,11249,11605,12196,14485,18338,22025,23156,19900,18740,16718,12026,9972,6916,4109,2715,1590,1721,2152,2919,4464,7856,11729,17056,21458,24787,25512,30483,26336,25982,22048,18728,19258,15857,15080,14748,17477,22539,28344,21170,49940,49667,59440,76320,128254
IN,34863,30593,22292,17232,12584,11296,6823,6849,5238,5773,5236,5853,6825,7265,8460,8228,7581,7345,5834,5375,3951,3225,2520,2052,2003,2032,2344,3100,4290,6850,10023,15411,20411,26550,29793,26369,26767,21322,18067,16574,13921,11353,10979,11664,19301,19879,15049,33870,32587,30674,19395,45944
IA,11782,9165,7768,5994,6108,4768,3182,4093,3281,3222,2961,3751,3659,3359,3187,3074,2507,2451,1763,1308,893,607,579,545,463,604,327,940,1405,2190,3485,4872,5697,7112,8308,8762,11926,12105,10874,9672,8146,6838,7023,7727,9011,9287,10557,9742,15744,7603,10548,11546
KS,15063,13781,10415,8012,6931,4656,4659,2929,2099,1801,1525,1487,1427,1381,1606,1455,1669,1424,1139,1269,815,770,761,717,729,1158,1821,2926,3855,5526,6622,8332,8122,9653,11396,9954,9856,7441,6824,6345,5422,5674,5941,5577,7410,8032,5432,13221,11607,11791,7748,13981
KY,30006,25029,20060,17558,16153,12358,8031,8130,6068,5677,4959,4151,4135,3816,4297,3606,3969,3980,3070,2943,2262,1722,1640,1174,941,1073,1412,2848,4813,8255,12609,17187,22689,28347,30762,28604,30138,24960,22069,15484,13519,10311,8501,7790,8515,9679,7975,16764,15978,14795,10778,23539
LA,26156,23422,15402,17021,12585,8724,3702,6305,4453,3437,3255,3332,2400,3369,3117,3586,3040,3192,3060,2982,2870,2296,2373,2099,2068,3039,4998,8387,16898,28836,32224,40873,35139,29881,17104,15674,13063,8887,7382,5423,4545,3757,2840,3378,2505,2976,1721,3738,3146,4733,9705,38322
ME,4206,4374,3493,2539,1986,1460,965,1071,1157,1198,1420,1373,1746,2245,3091,2714,1974,2250,1885,1356,840,513,430,266,171,145,132,217,416,538,769,1193,1121,1512,2612,2351,3393,3264,4141,3621,2836,3200,3289,3403,3272,4664,3480,3753,6740,6338,6460,4956
MD,19394,21142,16206,13676,9957,8394,6000,5462,5242,5802,6421,7445,9042,9279,9696,7796,6249,4636,3223,2269,1837,997,763,537,382,422,541,868,1480,2635,4264,5844,6780,7702,8489,6982,8770,8340,8750,7756,7118,5712,5307,4801,5260,6174,4500,10317,1866,0,45700,62177
MA,44543,40206,31525,25800,19956,16604,11982,12186,10229,10650,11622,14505,15793,14499,14004,10725,8966,6772,4592,4008,2214,1164,987,553,419,456,692,1442,2908,4600,6615,8091,9249,10060,11789,11438,13931,11876,10770,9886,9826,9341,9270,9558,11801,17452,18972,26139,33745,35881,50049,85095
